Date,Open,High,Low,Close,Adj Close,Volume
2022-03-31,88.260002,88.599998,87.709999,87.750000,84.095245,1670700
2022-04-01,87.190002,87.720001,86.930000,87.690002,84.037743,2002800
2022-04-04,88.220001,88.440002,86.980003,87.330002,83.692741,4819200
2022-04-05,87.830002,88.519997,87.769997,88.169998,84.497749,2685600
2022-04-06,88.860001,90.680000,88.650002,90.650002,86.874458,2743000
2022-04-07,91.000000,91.489998,90.720001,91.400002,87.593224,2440900
2022-04-08,92.150002,93.040001,92.080002,92.730003,88.867828,3115100
2022-04-11,94.099998,94.260002,93.570000,93.750000,89.845345,4256700
2022-04-12,93.300003,93.379997,92.400002,92.669998,88.810326,2418500
2022-04-13,92.779999,93.190002,92.440002,92.940002,89.069084,1499300
2022-04-14,92.800003,93.029999,92.370003,92.519997,88.666573,1686000
2022-04-18,91.959999,92.550003,91.879997,92.260002,88.417404,1548300
2022-04-19,91.580002,92.019997,91.190002,91.599998,87.784889,2171900
2022-04-20,91.099998,91.489998,90.559998,91.239998,87.439888,1967800
2022-04-21,91.000000,91.139999,89.680000,89.949997,86.203613,3404300
2022-04-22,90.500000,90.529999,89.209999,89.209999,85.494438,1870100
2022-04-25,90.029999,90.540001,89.180000,90.440002,86.673210,3128200
2022-04-26,90.260002,91.010002,88.959999,88.959999,85.254845,2421000
2022-04-27,89.349998,89.790001,88.809998,89.410004,85.686111,2709400
2022-04-28,89.080002,90.459999,89.050003,90.220001,86.462372,2739600
2022-04-29,89.239998,89.769997,87.940002,88.029999,84.363579,2138500
2022-05-02,87.709999,87.930000,86.830002,87.650002,83.999413,2857300
2022-05-03,87.529999,88.010002,87.199997,87.480003,83.836494,1841800
2022-05-04,87.459999,88.500000,86.480003,88.269997,84.593582,2182800
2022-05-05,87.139999,87.269997,85.480003,86.209999,82.619385,3247200
2022-05-06,85.980003,86.349998,85.489998,85.820000,82.245628,2350900
2022-05-09,84.610001,84.610001,83.370003,83.480003,80.003090,3582400
2022-05-10,84.629997,85.000000,84.000000,84.389999,80.875183,2502200
2022-05-11,84.760002,85.779999,83.989998,84.040001,80.539764,2674100
2022-05-12,84.589996,85.760002,84.510002,85.379997,81.823952,3433300
2022-05-13,86.110001,86.379997,85.279999,85.820000,82.245628,2519400
2022-05-16,86.680000,88.050003,86.580002,87.809998,84.152740,2218600
2022-05-17,88.129997,88.230003,87.580002,87.919998,84.258163,2152600
2022-05-18,87.849998,88.320000,87.540001,87.680000,84.028160,3855500
2022-05-19,88.050003,89.080002,88.010002,88.650002,84.957764,3820100
2022-05-20,88.550003,89.449997,88.419998,89.419998,85.695686,4510300
2022-05-23,89.940002,90.980003,89.940002,90.709999,86.931961,3911700
2022-05-24,90.989998,92.120003,90.959999,91.930000,88.101151,3278800
2022-05-25,91.279999,91.500000,90.660004,91.250000,87.449471,2628400
2022-05-26,91.290001,91.650002,91.040001,91.260002,87.459053,1544900
2022-05-27,91.019997,91.470001,90.589996,91.459999,87.650726,2162300
2022-05-31,90.410004,91.190002,89.959999,90.940002,87.152382,3104100
2022-06-01,90.360001,90.459999,89.150002,89.639999,85.906525,1447400
2022-06-02,89.699997,89.809998,88.860001,89.790001,86.050278,1347300
2022-06-03,89.279999,89.540001,88.970001,89.120003,85.408188,1055100
2022-06-06,89.599998,89.599998,88.489998,88.669998,84.976921,1238100
2022-06-07,87.900002,88.879997,87.879997,88.879997,85.178177,1841300
2022-06-08,87.349998,88.110001,87.269997,87.349998,83.711899,1351900
2022-06-09,87.779999,88.190002,86.370003,86.379997,82.782303,1580800
2022-06-10,84.750000,85.519997,84.349998,85.059998,81.517281,1702400
2022-06-13,83.169998,83.830002,82.309998,82.529999,79.092651,2778800
2022-06-14,82.160004,82.190002,80.160004,80.519997,77.166367,2365300
2022-06-15,81.239998,81.870003,80.250000,81.360001,77.971382,2238500
2022-06-16,81.389999,82.120003,80.989998,81.849998,78.440979,2539100
2022-06-17,81.440002,82.139999,80.910004,81.059998,77.683876,1969400
2022-06-21,82.610001,82.750000,81.440002,81.489998,78.095970,3295600
2022-06-22,81.300003,82.169998,81.199997,81.510002,78.115143,2408000
2022-06-23,81.610001,81.910004,81.250000,81.860001,78.450562,1739400
2022-06-24,83.519997,84.830002,83.349998,84.830002,81.296860,1906100
2022-06-27,85.080002,85.970001,84.690002,85.279999,81.728119,2114800
2022-06-28,85.449997,85.570000,84.040001,84.169998,80.664345,1558100
2022-06-29,84.849998,85.260002,84.650002,84.769997,81.239357,1648800
2022-06-30,84.360001,84.980003,83.730003,84.529999,81.009354,2828100
2022-07-01,83.269997,84.370003,83.070000,84.360001,80.846436,1812000
2022-07-05,83.610001,84.290001,83.339996,84.279999,80.769768,2004800
2022-07-06,83.599998,84.019997,83.190002,83.730003,80.242676,1791300
2022-07-07,84.360001,84.559998,84.050003,84.400002,80.884773,1408900
2022-07-08,84.220001,84.949997,84.099998,84.339996,80.827263,1493600
2022-07-11,84.309998,84.860001,84.220001,84.489998,80.971024,1225900
2022-07-12,84.379997,84.500000,83.830002,83.940002,80.443932,1854100
2022-07-13,83.029999,83.660004,82.889999,83.010002,79.552666,3891500
2022-07-14,82.150002,82.660004,81.760002,82.599998,79.159737,2458800
2022-07-15,83.459999,84.639999,83.239998,84.639999,81.114777,1875400
2022-07-18,84.730003,84.980003,82.470001,82.699997,79.255569,4140500
2022-07-19,86.190002,86.410004,85.410004,86.000000,82.418129,2485300
2022-07-20,85.300003,85.339996,84.150002,84.220001,80.712265,2526700
2022-07-21,84.300003,85.900002,84.080002,85.889999,82.312714,2367100
2022-07-22,86.209999,86.660004,85.540001,85.870003,82.293549,1951700
2022-07-25,85.919998,86.190002,85.599998,86.080002,82.494804,1485500
2022-07-26,86.910004,87.320000,86.650002,86.839996,83.223145,1704600
2022-07-27,86.470001,86.910004,85.800003,86.750000,83.136894,2251700
2022-07-28,86.769997,87.629997,86.169998,87.260002,83.625656,2016000
2022-07-29,86.430000,86.430000,85.620003,85.830002,82.255211,2143300
2022-08-01,85.570000,85.980003,85.150002,85.629997,82.063538,1139800
2022-08-02,85.610001,85.940002,84.989998,85.059998,81.517281,1473300
2022-08-03,85.150002,85.410004,84.849998,84.860001,81.325615,1532200
