Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-July-2022,957.75,976.15,952.20,974.20,968.775911213536296925,16489,1162,15974146.00,3942,23.91,23.95,16.45
26-July-2022,959.00,961.50,944.90,955.10,955.454681545998911268,44088,1057,42124086.00,4632,10.51,16.60,-3.90
25-July-2022,978.80,979.50,955.75,959.20,966.973596210115647206,28708,2240,27759878.00,13943,48.57,23.75,-19.60
22-July-2022,977.90,977.90,968.00,972.80,971.696190053723692641,20289,1148,19714744.00,5652,27.86,9.90,-5.10
21-July-2022,985.00,989.00,966.30,968.15,980.380294240984064858,57232,3385,56109125.00,20739,36.24,22.70,-16.85
20-July-2022,962.55,983.00,960.05,981.60,975.344226925872093023,44032,2970,42946357.00,24395,55.40,22.95,19.05
19-July-2022,963.90,973.90,955.60,960.65,963.567271286431275865,22714,1839,21886467.00,3878,17.07,18.30,-3.25
18-July-2022,971.00,975.75,960.00,966.55,966.079680425320597084,684660,1848,661436114.00,667532,97.50,15.75,-4.45
15-July-2022,967.40,968.00,951.90,966.00,958.889359129383313180,16540,1198,15860030.00,6047,36.56,16.10,-1.40
14-July-2022,958.45,968.35,945.30,950.85,958.585131582372387224,38417,2893,36825965.00,12472,32.46,23.05,-7.60
13-July-2022,943.40,958.70,932.30,953.35,949.587183244268229615,23204,1600,22034221.00,5978,25.76,26.40,9.95
12-July-2022,935.05,947.10,934.70,935.70,940.669186100101391833,10849,913,10205320.00,3101,28.58,12.40,0.65
11-July-2022,946.75,949.95,926.85,946.45,939.270995853538548035,14229,1128,13364887.00,3685,25.90,23.10,-0.30
8-July-2022,936.40,941.75,928.25,935.40,934.582053568479804484,30279,1983,28298210.00,11431,37.75,13.50,-1.00
7-July-2022,948.70,950.35,933.50,936.40,940.434910989387196165,23368,1823,21976083.00,8790,37.62,16.85,-12.30
6-July-2022,944.00,949.30,933.35,945.85,941.031038119632364019,19911,1556,18736869.00,6113,30.70,15.95,1.85
5-July-2022,940.00,948.95,931.25,937.70,940.957527333894028595,14268,1265,13425582.00,3386,23.73,17.70,-2.30
4-July-2022,948.00,950.00,928.65,930.35,935.442455144916423861,26084,1905,24400081.00,7636,29.27,21.35,-17.65
1-July-2022,915.00,955.75,914.35,950.10,935.104085603112840466,29812,1983,27877323.00,7297,24.48,41.40,35.10
30-June-2022,948.00,948.00,911.05,915.20,924.351239889314601958,37584,2784,34740817.00,10385,27.63,36.95,-32.80
29-June-2022,941.00,961.30,923.00,945.60,932.955883888482823431,19154,1379,17869837.00,3386,17.68,38.30,4.60
28-June-2022,930.00,947.40,922.05,944.70,933.157575757575757575,13200,1098,12317680.00,2437,18.46,25.35,14.70
27-June-2022,935.00,946.20,930.55,932.25,938.961533133225583006,21655,1445,20333212.00,7384,34.10,15.65,-2.75
24-June-2022,934.95,943.45,930.50,933.40,936.853915471506536362,15758,954,14762944.00,6509,41.31,12.95,-1.55
23-June-2022,917.00,937.00,914.85,933.00,928.255349437252546821,22479,1171,20866252.00,12626,56.17,22.15,16.00
22-June-2022,944.60,944.60,913.00,916.50,925.109109343316175323,25644,1551,23723498.00,6335,24.70,31.60,-28.10
21-June-2022,918.65,944.00,918.65,937.00,937.105200018456143588,21673,1535,20309881.00,5912,27.28,25.35,18.35
20-June-2022,915.60,928.00,901.95,925.75,915.738078134497430513,36194,3292,33144224.00,11390,31.47,26.05,10.15
17-June-2022,926.40,944.95,911.05,915.60,924.575462386122752795,61799,4300,57137839.00,14479,23.43,33.90,-10.80
16-June-2022,970.00,975.70,928.05,940.60,942.864088397790055248,31675,2463,29865220.00,5865,18.52,47.65,-29.40
