Impact Value
""
7481.7
""
14.5
45.0
""
""
14.0
""
13.3
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
10.0
""
""
""
""
5.0
42.0
""
120271.90000000001
0.85
""
""
""
""
""
""
""
8479.26
""
""
""
""
""
""
10391.25
""
2410.77
""
415.65
329.1948
38.0
""
""
""
1.0
""
7.6
0.8
""
0.85
""
""
""
""
""
""
44.4
""
11.7
""
""
""
""
""
""
5.3
""
""
""
""
""
155.6
""
""
498.78
""
93.0
""
14.8
301.0
133.008
273.7
""
""
4.1565
1.6625999999999999
""
10308.119999999999
""
""
1.1
""
279.0
37.45
""
""
83.13
""
4.57
332.52
""
""
""
""
