Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-July-2022,4443.00,4443.00,4330.00,4338.35,4371.302823179791976225,6730,1634,29418868.00,2920,43.39,113.00,-104.65
6-July-2022,4415.00,4441.95,4382.55,4393.80,4411.238880108376608715,22145,1326,97686885.00,17608,79.51,59.40,-21.20
5-July-2022,4332.80,4467.85,4332.80,4389.45,4441.614813752554404330,27893,5927,123889962.00,17198,61.66,135.05,56.65
4-July-2022,4377.00,4412.95,4295.55,4365.70,4354.888288288288288288,4995,878,21752667.00,1858,37.20,117.40,-11.30
1-July-2022,4370.05,4392.00,4290.00,4384.35,4349.553121288108750164,7577,1733,32956564.00,2760,36.43,102.00,14.30
30-June-2022,4333.00,4417.90,4333.00,4399.90,4381.579154006350073401,29291,4294,128340835.00,22568,77.05,84.90,66.90
29-June-2022,4345.00,4406.45,4335.75,4363.30,4371.745766233766233766,9625,1859,42078053.00,2712,28.18,70.70,18.30
28-June-2022,4320.00,4381.00,4312.15,4374.65,4349.769556772028959915,5663,1053,24632745.00,1097,19.37,68.85,54.65
27-June-2022,4400.00,4400.00,4305.00,4317.15,4361.143860250042815550,5839,1287,25464719.00,1463,25.06,95.00,-82.85
24-June-2022,4310.00,4370.00,4292.35,4308.75,4320.755122801918325824,6881,1656,29731116.00,2009,29.20,77.65,-1.25
23-June-2022,4275.00,4304.60,4258.10,4296.20,4283.909040178571428571,5376,1143,23030295.00,539,10.03,46.50,21.20
22-June-2022,4285.00,4345.85,4164.00,4250.60,4240.274859149776834711,27334,3542,115903673.00,14531,53.16,181.85,-34.40
21-June-2022,4169.35,4276.45,4168.20,4271.05,4248.996382292968493060,15203,2548,64597492.00,6746,44.37,108.25,101.70
20-June-2022,4164.85,4177.70,4106.65,4152.90,4146.750111684197701336,24623,1650,102105428.00,17076,69.35,71.05,-11.95
17-June-2022,4287.00,4290.10,4066.70,4143.55,4145.169457042343067859,23593,5211,97796983.00,7674,32.53,223.40,-143.45
16-June-2022,4350.00,4358.10,4278.00,4287.00,4312.276715676613189325,25369,3961,109398148.00,15124,59.62,80.10,-63.00
15-June-2022,4285.00,4348.00,4285.00,4336.75,4330.992136956305364785,10047,1832,43513478.00,6329,62.99,63.00,51.75
14-June-2022,4260.00,4322.20,4238.05,4309.85,4283.672023295944779982,9272,1647,39718207.00,2263,24.41,84.15,49.85
13-June-2022,4296.00,4353.00,4257.05,4268.25,4302.717231075697211155,10040,2699,43199281.00,4443,44.25,95.95,-27.75
10-June-2022,4326.00,4363.80,4283.80,4353.00,4339.419331476323119777,17950,2954,77892577.00,10440,58.16,80.00,27.00
9-June-2022,4177.80,4333.40,4172.00,4326.10,4308.975482150184653262,38992,4210,168015572.00,19484,49.97,161.40,148.30
8-June-2022,4183.60,4210.25,4115.55,4199.90,4159.545029239766081871,18810,1635,78241042.00,11726,62.34,94.70,16.30
7-June-2022,4292.00,4292.00,4105.00,4142.15,4157.242816244300710423,18862,2974,78413914.00,7931,42.05,187.00,-149.85
6-June-2022,4305.00,4350.00,4273.75,4308.90,4311.691533298915849251,3874,701,16703493.00,1124,29.01,76.25,3.90
3-June-2022,4351.00,4390.40,4313.60,4334.35,4353.668082253017434063,4474,883,19478311.00,1438,32.14,76.80,-16.65
2-June-2022,4329.00,4359.00,4292.10,4330.75,4330.666301569916027747,5478,970,23723390.00,1615,29.48,66.90,1.75
1-June-2022,4341.00,4359.05,4302.00,4318.65,4323.363065134099616858,6525,1605,28209944.00,1778,27.25,57.05,-22.35
31-May-2022,4371.00,4396.65,4331.30,4369.45,4365.104021600113684808,7037,1629,30717237.00,1667,23.69,65.35,-1.55
30-May-2022,4368.10,4425.00,4350.00,4369.00,4377.469699080523822791,14356,2736,62842955.00,5575,38.83,75.00,0.90
27-May-2022,4291.00,4406.45,4270.20,4392.00,4353.903175791274593669,18704,3586,81435405.00,11450,61.22,136.25,101.00
26-May-2022,4310.00,4349.00,4290.00,4307.25,4320.206088992974238875,8540,2113,36894560.00,3038,35.57,59.00,-2.75
25-May-2022,4381.20,4396.35,4296.95,4304.95,4346.108271534512264689,17530,3447,76187278.00,9759,55.67,99.40,-76.25
24-May-2022,4252.25,4375.95,4252.25,4351.10,4330.466990386501863841,20388,2962,88289561.00,2913,14.29,123.70,98.85
23-May-2022,4280.00,4327.05,4249.00,4274.25,4290.287542008136312717,16961,2244,72767567.00,4099,24.17,78.05,-5.75
20-May-2022,3984.00,4299.00,3982.85,4246.30,4201.688545688545688545,69153,9338,290559368.00,13241,19.15,316.15,262.30
19-May-2022,3850.00,4014.20,3831.85,3928.05,3934.748412089501553322,79507,12445,312840042.00,24343,30.62,182.35,78.05
18-May-2022,3940.00,3984.00,3885.95,3908.10,3939.953055916775032509,7690,1806,30298239.00,1922,24.99,98.05,-31.90
17-May-2022,3926.10,3934.35,3872.00,3904.10,3899.111190817790530846,4182,752,16306083.00,956,22.86,62.35,-22.00
16-May-2022,3985.00,3985.00,3861.35,3887.25,3887.424770913390481820,3383,696,13151158.00,1197,35.38,123.65,-97.75
13-May-2022,3843.70,3978.25,3843.70,3923.50,3942.848837209302325581,5934,1425,23396865.00,1587,26.74,134.55,79.80
12-May-2022,3879.00,3898.00,3787.55,3874.85,3847.977713808153031850,10769,2368,41438872.00,2740,25.44,110.45,-4.15
11-May-2022,3949.00,3949.00,3853.20,3886.00,3896.741289321483989279,7089,1876,27623999.00,1529,21.57,95.80,-63.00
10-May-2022,3908.00,3934.80,3891.05,3911.55,3914.891167192429022082,5072,1237,19856328.00,1318,25.99,43.75,3.55
9-May-2022,3930.00,3935.15,3870.00,3908.50,3905.706682536983506206,5881,1170,22969461.00,1324,22.51,65.15,-21.50
6-May-2022,3940.00,3945.20,3882.50,3930.00,3916.154218750000000000,6400,1418,25063387.00,1605,25.08,62.70,-10.00
5-May-2022,4029.00,4072.00,3952.60,3961.80,4025.327380952380952380,5544,1019,22316415.00,1049,18.92,119.40,-67.20
4-May-2022,4122.00,4128.40,3965.90,3989.25,4115.579126301829124618,148541,2285,611332239.00,139892,94.18,162.50,-132.75
2-May-2022,4100.00,4141.55,4070.55,4122.05,4102.804906738363300285,5951,1413,24415792.00,1593,26.77,71.00,22.05
29-April-2022,4164.50,4266.00,4118.80,4135.10,4203.177741935483870967,9300,1768,39089553.00,1838,19.76,147.20,-29.40
28-April-2022,4131.90,4150.00,4083.20,4118.65,4119.841073825503355704,3725,570,15346408.00,1767,47.44,66.80,-13.25
27-April-2022,4151.75,4160.25,4074.00,4076.45,4093.100792253521126760,4544,796,18599050.00,1772,39.00,86.25,-75.30
26-April-2022,4152.75,4182.90,4135.65,4154.45,4163.053147268408551068,3368,670,14021163.00,909,26.99,47.25,1.70
25-April-2022,4185.00,4185.00,4063.00,4111.70,4110.856709915711715124,10559,1815,43406536.00,3525,33.38,122.00,-73.30
22-April-2022,4300.00,4300.00,4168.00,4192.10,4214.345107359449270611,12202,2534,51423439.00,3562,29.19,132.00,-107.90
21-April-2022,4325.00,4351.00,4312.90,4318.60,4328.933186813186813186,4550,774,19696646.00,1191,26.18,38.10,-6.40
20-April-2022,4229.20,4336.25,4213.55,4291.45,4291.122399875814964296,12884,2425,55286821.00,5315,41.25,122.70,62.25
19-April-2022,4273.95,4341.40,4191.05,4211.45,4261.662459430219978362,5546,1228,23635180.00,1935,34.89,150.35,-62.50
18-April-2022,4278.00,4315.65,4232.10,4284.70,4263.632366940718303764,11555,1544,49266272.00,6255,54.13,83.55,6.70
13-April-2022,4340.00,4362.90,4290.00,4297.80,4314.604007961018461327,14571,2726,62868095.00,4282,29.39,72.90,-42.20
12-April-2022,4380.00,4405.30,4329.30,4372.50,4363.174768280123583934,9710,1718,42366427.00,2532,26.08,76.00,-7.50
11-April-2022,4480.00,4480.00,4374.20,4379.85,4403.545815415150512735,6046,1520,26623838.00,2025,33.49,105.80,-100.15
8-April-2022,4323.00,4476.00,4323.00,4430.15,4399.428173838578462855,14013,2433,61649187.00,4455,31.79,153.00,107.15
7-April-2022,4311.00,4357.40,4280.55,4316.60,4325.752434158020750199,6265,1326,27100839.00,1453,23.19,76.85,5.60
6-April-2022,4355.00,4355.00,4268.00,4272.45,4298.803588372293625463,11593,1460,49836030.00,5766,49.74,87.00,-82.55
5-April-2022,4349.00,4407.90,4304.45,4325.10,4359.440648523451071221,17270,2784,75287540.00,6155,35.64,103.45,-23.90
4-April-2022,4360.00,4360.00,4270.60,4317.25,4305.523158922002852638,13321,1933,57353874.00,2555,19.18,89.40,-42.75
1-April-2022,4320.00,4334.20,4267.60,4278.65,4300.330411585365853658,7872,1445,33852201.00,2317,29.43,66.60,-41.35
31-March-2022,4339.20,4387.50,4280.20,4305.40,4342.629801699716713881,8825,1737,38323708.00,2214,25.09,107.30,-33.80
